Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Protein existence
O42357	reviewed	RX2_DANRE	Retinal homeobox protein Rx2	rx2	Danio rerio (Zebrafish) (Brachydanio rerio)	327	Evidence at transcript level
O42365	reviewed	HXA2B_DANRE	Homeobox protein Hox-A2b (Hox-A2)	hoxa2b hoxa2	Danio rerio (Zebrafish) (Brachydanio rerio)	363	Evidence at transcript level
O42367	reviewed	HXB2A_DANRE	Homeobox protein Hox-B2a (Hox-B2)	hoxb2a hoxb2	Danio rerio (Zebrafish) (Brachydanio rerio)	390	Evidence at transcript level
O42368	reviewed	HXB3A_DANRE	Homeobox protein Hox-B3a (Hox-B3)	hoxb3a hoxb3 zgc:111819	Danio rerio (Zebrafish) (Brachydanio rerio)	417	Evidence at transcript level
O42370	reviewed	HXD3A_DANRE	Homeobox protein Hox-D3a (Hox-D3)	hoxd3a hoxd3 si:rp71-78h1.2	Danio rerio (Zebrafish) (Brachydanio rerio)	396	Evidence at transcript level
O42384	reviewed	5H1AB_TAKRU	5-hydroxytryptamine receptor 1A-beta (5-HT-1A-beta) (5-HT1A-beta) (F1B) (Serotonin receptor 1A-beta)	htr1a-B	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	416	Inferred from homology
O42386	reviewed	RABP1_TAKRU	Cellular retinoic acid-binding protein 1 (Cellular retinoic acid-binding protein I) (CRABP-I)	crabp1	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	137	Inferred from homology
O42427	reviewed	OPSD_LIMBE	Rhodopsin	rho	Limnocottus bergianus	289	Inferred from homology
O42430	reviewed	CP1A1_LIMLI	Cytochrome P450 1A1 (EC 1.14.14.1) (CYPIA1)	cyp1a1	Limanda limanda (Common dab) (Pleuronectes limanda)	521	Evidence at transcript level
O42431	reviewed	OPSD_LIMPA	Rhodopsin	rho	Limnocottus pallidus (Ray-finned fish)	289	Inferred from homology
O42451	reviewed	OPSD_PROJE	Rhodopsin	rho	Procottus jeittelesii (Red sculpin)	289	Inferred from homology
O42452	reviewed	OPSD_PARKN	Rhodopsin	rho	Paracottus knerii (Stone sculpin) (Cottus knerii)	289	Inferred from homology
O42457	reviewed	CP1A1_SPAAU	Cytochrome P450 1A1 (EC 1.14.14.1) (CYPIA1)	cyp1a1	Sparus aurata (Gilthead sea bream)	521	Evidence at transcript level
O42466	reviewed	OPSD_TAUBU	Rhodopsin	rho	Taurulus bubalis (Long-spined sea scorpion) (Cottus bubalis)	287	Inferred from homology
O42471	reviewed	GON2B_CARAU	Progonadoliberin IIB [Cleaved into: Gonadoliberin II (Gonadotropin-releasing hormone II) (GnRH II) (Luliberin II) (Luteinizing hormone-releasing hormone II) (LH-RH II); GnRH-associated peptide IIB]	gnrh2b	Carassius auratus (Goldfish)	86	Evidence at transcript level
O42499	reviewed	NEUV_TAKRU	Vasotocin-neurophysin VT 1 [Cleaved into: Vasotocin (VT); Neurophysin VT 1]		Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	153	Inferred from homology
O42502	reviewed	HXC9A_TAKRU	Homeobox protein Hox-C9a (FrHOXC-9)	hoxc9a hoxc9	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	261	Inferred from homology
O42506	reviewed	HXA9A_TAKRU	Homeobox protein Hox-A9a (HoxA-9)	hoxa9a hoxa9	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	283	Inferred from homology
O42611	reviewed	HIRA_TAKRU	Protein HIRA (TUP1-like enhancer of split protein 1)	hira tuple1	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	1025	Evidence at transcript level
O57379	reviewed	S22A6_PSEAM	Solute carrier family 22 member 6 (Organic anion transporter 1) (Renal organic anion transporter 1) (ROAT1) (fROAT1)	SLC22A6 OAT1	Pseudopleuronectes americanus (Winter flounder) (Pleuronectes americanus)	562	Evidence at protein level
O57457	reviewed	E41LA_DANRE	Band 4.1-like protein 4 (Erythrocyte membrane protein band 4.1-like 4A) (Protein Nbl4)	epb41l4a epb4.1l4 nbl4	Danio rerio (Zebrafish) (Brachydanio rerio)	619	Evidence at transcript level
O57524	reviewed	APA12_ONCMY	Apolipoprotein A-I-2 (Apo-AI-2) (ApoA-I-2) (Apolipoprotein A1-2) [Cleaved into: Proapolipoprotein A-I-2 (ProapoA-I-2)]		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	262	Evidence at transcript level
O57568	reviewed	THA_SPAAU	Thyroid hormone receptor alpha (Nuclear receptor subfamily 1 group A member 1)	thra1 nr1a1	Sparus aurata (Gilthead sea bream)	129	Evidence at transcript level
O57590	reviewed	SURF4_TAKRU	Surfeit locus protein 4	surf4	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	269	Inferred from homology
O57592	reviewed	RL7A_TAKRU	Large ribosomal subunit protein eL8 (60S ribosomal protein L7a) (Surfeit locus protein 3)	rpl7a surf3	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	266	Inferred from homology
O57595	reviewed	MED22_TAKRU	Mediator of RNA polymerase II transcription subunit 22 (Mediator complex subunit 22) (Surfeit locus protein 5)	med22 surf5	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	200	Inferred from homology
O57607	reviewed	K1C18_ONCMY	Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Keratin-18) (K18) (Simple type I keratin)	krt18	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	438	Evidence at protein level
O57656	reviewed	GPDA_TAKRU	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic (GPD-C) (GPDH-C) (EC 1.1.1.8)	gpd1 lg3p	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	351	Inferred from homology
O73688	reviewed	HMOX_TAKRU	Heme oxygenase (HO) (EC 1.14.14.18)	hmox	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	277	Inferred from homology
O73723	reviewed	ARP3_TAKRU	Actin-related protein 3 (Actin-like protein 3)	actr3 arp3	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	418	Inferred from homology
O73747	reviewed	FRG1_TAKRU	Protein FRG1	frg1	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	255	Evidence at transcript level
O73813	reviewed	RS3A_ORYLA	Small ribosomal subunit protein eS1 (40S ribosomal protein S3a) (v-fos transformation effector protein)	rps3a fte-1	Oryzias latipes (Japanese rice fish) (Japanese killifish)	266	Evidence at transcript level
O73817	reviewed	PSB3_ONCMY	Proteasome subunit beta type-3 (Proteasome chain 13) (Proteasome component C10-II) (Proteasome theta chain)	psmb3	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	205	Evidence at transcript level
O73824	reviewed	TSHB_SALSA	Thyrotropin subunit beta (Thyroid-stimulating hormone subunit beta) (TSH-B) (TSH-beta) (Thyrotropin beta chain)	tshb	Salmo salar (Atlantic salmon)	139	Evidence at transcript level
O73881	reviewed	BBLN_TAKRU	Bublin coiled-coil protein (UPF0184 protein C9orf16 homolog)	bbln EST00098	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	108	Inferred from homology
O73917	reviewed	PAX6_ORYLA	Paired box protein Pax-6	pax6	Oryzias latipes (Japanese rice fish) (Japanese killifish)	437	Evidence at transcript level
O73919	reviewed	CRYAA_ORYLA	Alpha-crystallin A chain	cryaa	Oryzias latipes (Japanese rice fish) (Japanese killifish)	145	Evidence at transcript level
O78680	reviewed	NU2M_CARAU	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	MT-ND2 MTND2 NADH2 ND2	Carassius auratus (Goldfish)	348	Inferred from homology
O78682	reviewed	COX2_CARAU	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	mt-co2 coii coxii mtco2	Carassius auratus (Goldfish)	230	Inferred from homology
O78683	reviewed	ATP8_CARAU	ATP synthase F(0) complex subunit 8 (A6L) (F-ATPase subunit 8)	mt-atp8 atp8 atpase8 mtatp8	Carassius auratus (Goldfish)	54	Inferred from homology
O78684	reviewed	ATP6_CARAU	ATP synthase F(0) complex subunit a (F-ATPase protein 6) (Proton-conducting channel, ATP synthase F(0) complex subunit a)	mt-atp6 atp6 atpase6 mtatp6	Carassius auratus (Goldfish)	227	Inferred from homology
O78687	reviewed	NU4M_CARAU	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2) (NADH dehydrogenase subunit 4)	MT-ND4 MTND4 NADH4 ND4	Carassius auratus (Goldfish)	460	Inferred from homology
O78688	reviewed	NU5M_CARAU	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5)	MT-ND5 MTND5 NADH5 ND5	Carassius auratus (Goldfish)	607	Inferred from homology
O78690	reviewed	CYB_CARAU	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	mt-cyb cob cytb mtcyb	Carassius auratus (Goldfish)	380	Inferred from homology
O93299	reviewed	CP2K3_ONCMY	Cytochrome P450 2K3 (EC 1.14.14.1) (CYPIIK3) (Cytochrome P450 LMC2)	cyp2k3	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	491	Evidence at transcript level
O93359	reviewed	SOMA1_CARAU	Somatotropin-1 (Growth hormone I) (Somatotropin I)	gh1	Carassius auratus (Goldfish)	210	Evidence at transcript level
O93360	reviewed	SOMA2_CARAU	Somatotropin-2 (Growth hormone II) (Somatotropin II)	gh2	Carassius auratus (Goldfish)	210	Evidence at transcript level
O93375	reviewed	COE2_DANRE	Transcription factor COE2	coe2	Danio rerio (Zebrafish) (Brachydanio rerio)	579	Evidence at transcript level
O93384	reviewed	RSAD2_ONCMY	S-adenosylmethionine-dependent nucleotide dehydratase RSAD2 (SAND) (Radical S-adenosyl methionine domain-containing protein 2) (Virus inhibitory protein, endoplasmic reticulum-associated, interferon-inducible) (Viperin)	rsad2 vig1	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	348	Evidence at transcript level
O93401	reviewed	LDHA_RHINC	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27)	ldha	Rhinogobiops nicholsii (Blackeye goby) (Coryphopterus nicholsi)	332	Evidence at transcript level
O93429	reviewed	TRFE_PAROL	Serotransferrin	tf	Paralichthys olivaceus (Bastard halibut) (Hippoglossus olivaceus)	685	Evidence at transcript level
O93474	reviewed	NTF7_CYPCA	Neurotrophin-7 (NT-7)	ntf7 nnt nt7	Cyprinus carpio (Common carp)	140	Inferred from homology
O93537	reviewed	LDHA_HARAN	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27)	ldha	Harpagifer antarcticus (Antarctic spiny plunderfish)	331	Evidence at transcript level
O93538	reviewed	LDHA_PARCR	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27)	ldha	Parachaenichthys charcoti (Charcot's dragonfish) (Chaenichthys charcoti)	331	Evidence at transcript level
O93539	reviewed	LDHA_NOTNE	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27)	ldha	Notothenia neglecta (Yellowbelly rockcod) (Notothenia coriiceps neglecta)	331	Evidence at transcript level
O93540	reviewed	LDHA_GOBGI	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27)	ldha	Gobionotothen gibberifrons (Humped rockcod) (Notothenia gibberifrons)	331	Evidence at transcript level
O93541	reviewed	LDHA_CHAGU	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27)	ldha	Champsocephalus gunnari (Mackerel icefish)	331	Evidence at protein level
O93542	reviewed	LDHA_ELEMC	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27)	ldha	Eleginops maclovinus (Patagonian blennie) (Eleginus maclovinus)	332	Evidence at transcript level
O93543	reviewed	LDHA_PARMG	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27)	ldha	Paranotothenia magellanica (Maori cod) (Gadus magellanicus)	331	Evidence at transcript level
O93544	reviewed	LDHA_DISMA	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27)	ldha	Dissostichus mawsoni (Antarctic cod)	331	Evidence at transcript level
O93545	reviewed	LDHA_LINNU	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27)	ldha	Lindbergichthys nudifrons (Gaudy notothen) (Lepidonotothen nudifrons)	331	Evidence at transcript level
O93546	reviewed	LDHA_PATTE	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27)	ldha	Patagonotothen tessellata (Black southern cod)	331	Evidence at transcript level
O93566	reviewed	SOMA_VERVA	Somatotropin (Growth hormone)	gh	Verasper variegatus (Spotted flounder)	203	Evidence at transcript level
O93591	reviewed	CRYAA_PSAFA	Alpha-crystallin A chain	cryaa	Psalidodon fasciatus (Banded astyanax) (Astyanax fasciatus)	173	Inferred from homology
O99240	reviewed	CYB_ANGDI	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	mt-cyb cob cytb mtcyb	Anguilla dieffenbachii (New Zealand longfin eel)	379	Inferred from homology
P01146	reviewed	UTS1_CYPCA	UI [Cleaved into: Urophysin; Urotensin-1 (Urotensin I)]		Cyprinus carpio (Common carp)	145	Evidence at protein level
P01147	reviewed	UTS2_GILMI	Urotensin-2 (Urotensin II) (U-II) (UII)		Gillichthys mirabilis (Long-jawed mudsucker)	12	Evidence at protein level
P01169	reviewed	SMS1_LOPAM	Somatostatin-1 (Somatostatin I) [Cleaved into: Somatostatin-14]	sst1	Lophius americanus (American angler) (Anglerfish)	121	Evidence at protein level
P01171	reviewed	SMS1_ICTPU	Somatostatin-1 (Somatostatin I) [Cleaved into: Somatostatin-14 (SS-14)]	sst1	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	114	Evidence at protein level
P01265	reviewed	CALC3_ONCKI	Calcitonin-3		Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	32	Evidence at protein level
P01278	reviewed	GLUC1_LOPAM	Glucagon-1 (Glucagon I) [Cleaved into: Glicentin-related polypeptide (GRPP); Glucagon-1 (Glucagon I); Glucagon-like peptide 1 (Glucagon-like peptide I)]	gcg1	Lophius americanus (American angler) (Anglerfish)	124	Evidence at protein level
P01336	reviewed	INS_GADMC	Insulin [Cleaved into: Insulin B chain; Insulin A chain]	ins	Gadus morhua subsp. callarias (Baltic cod) (Gadus callarias)	51	Evidence at protein level
P01337	reviewed	INS1_BATSP	Insulin-1	ins1	Batrachoididae sp. (Toadfish)	51	Evidence at protein level
P01338	reviewed	INS2_BATSP	Insulin 2 [Cleaved into: Insulin B chain; Insulin A chain]	ins2	Batrachoididae sp. (Toadfish)	50	Evidence at protein level
P01339	reviewed	INS_THUTH	Insulin [Cleaved into: Insulin B chain; Insulin A chain]	ins	Thunnus thynnus (Atlantic bluefin tuna) (Scomber thynnus)	51	Evidence at protein level
P01340	reviewed	INS_KATPE	Insulin [Cleaved into: Insulin B chain; Insulin A chain]	ins	Katsuwonus pelamis (Skipjack tuna) (Scomber pelamis)	50	Evidence at protein level
P02254	reviewed	H1_SALTR	Histone H1		Salmo trutta (Brown trout)	194	Evidence at protein level
P02321	reviewed	PRTY_THUTH	Protamine-Y1/Y2 (Thynnin-Y1/Y2)		Thunnus thynnus (Atlantic bluefin tuna) (Scomber thynnus)	34	Evidence at protein level
P02322	reviewed	PRTZ_THUTH	Protamine-Z1/Z2 (Thynnin-Z1/Z2)		Thunnus thynnus (Atlantic bluefin tuna) (Scomber thynnus)	34	Evidence at protein level
P02324	reviewed	PRTA_ACIST	Protamine-A (Stellin-A) [Cleaved into: Protamine-C (Stellin-C)]		Acipenser stellatus (Sevruga) (Starry sturgeon)	27	Evidence at protein level
P02325	reviewed	PRT1_ESOLU	Protamine-1 (Protamine-I)		Esox lucius (Northern pike)	32	Evidence at protein level
P02326	reviewed	PRTIB_ONCMY	Protamine-1B (Iridine IB)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	33	Evidence at protein level
P02328	reviewed	PRTIA_ONCMY	Protamine-1A (Iridine IA)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	33	Evidence at protein level
P02330	reviewed	PRT2_ONCMY	Protamine-2 (Iridine II)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	32	Evidence at protein level
P02331	reviewed	PRTC3_ONCMY	Protamine CIII (Protamine PPC 6B)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	31	Evidence at transcript level
P02332	reviewed	PRT1B_ONCMY	Protamine-1B		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	31	Evidence at protein level
P02333	reviewed	PRT4_ONCMY	Protamine PTP4		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	31	Evidence at transcript level
P02334	reviewed	PRT2C_ONCMY	Protamine-2C		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	33	Evidence at protein level
P02618	reviewed	PRVB_CYPCA	Parvalbumin beta		Cyprinus carpio (Common carp)	108	Evidence at protein level
P02619	reviewed	PRVB_ESOLU	Parvalbumin beta (Parvalbumin II) (Parvalbumin pI 4.10) (Parvalbumin-2)		Esox lucius (Northern pike)	107	Evidence at protein level
P02620	reviewed	PRVB_MERME	Parvalbumin beta		Merluccius merluccius (European hake)	108	Evidence at protein level
P02621	reviewed	PRVB_MERMR	Parvalbumin beta		Merlangius merlangus (Whiting) (Gadus merlangus)	108	Evidence at protein level
P02622	reviewed	PRVB_GADMC	Parvalbumin beta (Allergen Gad c I) (Allergen M) (allergen Gad c 1.0101)		Gadus morhua subsp. callarias (Baltic cod) (Gadus callarias)	113	Evidence at protein level
P04092	reviewed	GLUC2_LOPAM	Glucagon-2 (Glucagon II) [Cleaved into: Glicentin-related polypeptide (GRPP); Glucagon-2 (Glucagon II); Glucagon-like peptide 2 (Glucagon-like peptide II)]	gcg2	Lophius americanus (American angler) (Anglerfish)	122	Evidence at protein level
P04558	reviewed	UTS2A_CATCO	Urotensin-2A (Urotensin IIA) (U-IIA) (UIIA)		Catostomus commersonii (White sucker) (Cyprinus commersonnii)	12	Evidence at protein level
P04559	reviewed	UTS2B_CATCO	Urotensin-2B (Urotensin IIB) (U-IIB) (UIIB)		Catostomus commersonii (White sucker) (Cyprinus commersonnii)	12	Evidence at protein level
P04560	reviewed	UTS2A_CYPCA	Prepro-urotensin II-alpha [Cleaved into: Urophysin alpha; Urotensin II-alpha (U-II-alpha) (UII-alpha)]		Cyprinus carpio (Common carp)	125	Evidence at protein level
P04561	reviewed	UTS2B_CYPCA	Urotensin II-beta (U-II-beta) (UII-beta)		Cyprinus carpio (Common carp)	12	Evidence at protein level
P05774	reviewed	RAS_CARAU	Ras-like protein (EC 3.6.5.2)		Carassius auratus (Goldfish)	183	Inferred from homology
P05941	reviewed	PRVB_OPSTA	Parvalbumin beta (Parvalbumin IIIF)		Opsanus tau (Oyster toadfish) (Gadus tau)	109	Evidence at protein level
P06580	reviewed	UTS2G_CYPCA	Prepro-urotensin II-gamma [Cleaved into: Urophysin gamma; Urotensin II-gamma (U-II-gamma) (UII-gamma)]		Cyprinus carpio (Common carp)	125	Evidence at protein level
P06646	reviewed	MYC_ONCMY	Transcriptional regulator Myc (c-Myc)	myc	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	414	Inferred from homology
P06682	reviewed	CO9_ONCMY	Complement component C9	c9	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	574	Evidence at transcript level
P07453	reviewed	INS_MYOSC	Insulin [Cleaved into: Insulin B chain; Insulin A chain]	ins	Myoxocephalus scorpius (Shorthorn sculpin) (Cottus scorpius)	50	Evidence at protein level
P07746	reviewed	HMGT_ONCMY	High mobility group-T protein (HMG-T) (HMG-T1) (HMG-1)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	204	Evidence at transcript level
P08108	reviewed	HSP70_ONCMY	Heat shock cognate 70 kDa protein (HSP70)	hsc71	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	651	Evidence at transcript level
P08130	reviewed	PRTB_MUGCE	Protamine-M6/M7 (Mugiline beta)		Mugil cephalus (Flathead mullet) (Mugil japonicus)	33	Evidence at protein level
P08145	reviewed	PRT14_ONCMY	Protamine TP14		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	33	Evidence at transcript level
P08146	reviewed	PRT16_ONCMY	Protamine TP16		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	33	Evidence at transcript level
P08147	reviewed	PRT17_ONCMY	Protamine TP17		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	33	Evidence at transcript level
P08591	reviewed	SOMA_PAGMA	Somatotropin (Growth hormone)	gh	Pagrus major (Red sea bream) (Chrysophrys major)	203	Evidence at transcript level
P09074	reviewed	HXC5A_DANRE	Homeobox protein Hox-C5a (Hox-C5) (Homeobox protein Hox-3.4) (Homeobox protein Zf-25)	hoxc5a hox-3.4 hoxc5 zf25	Danio rerio (Zebrafish) (Brachydanio rerio)	232	Evidence at transcript level
P09113	reviewed	SOMA_THUTH	Somatotropin (Growth hormone)	gh	Thunnus thynnus (Atlantic bluefin tuna) (Scomber thynnus)	204	Evidence at protein level
P09227	reviewed	PRVA_CYPCA	Parvalbumin alpha (A1)		Cyprinus carpio (Common carp)	109	Evidence at protein level
P09318	reviewed	PRL2_OREMO	Prolactin-2 (PRL-177) (Prolactin II)	prl2	Oreochromis mossambicus (Mozambique tilapia) (Tilapia mossambica)	200	Evidence at protein level
P09319	reviewed	PRL1_OREMO	Prolactin-1 (PRL-188) (Prolactin I)	prl1	Oreochromis mossambicus (Mozambique tilapia) (Tilapia mossambica)	212	Evidence at protein level
P09476	reviewed	INS_ATRSP	Insulin [Cleaved into: Insulin B chain; Insulin A chain]	ins	Atractosteus spatula (Alligator gar) (Lepisosteus spatula)	52	Evidence at protein level
P09477	reviewed	INS_PLAFE	Insulin [Cleaved into: Insulin B chain; Insulin A chain]	ins	Platichthys flesus (European flounder) (Pleuronectes flesus)	51	Evidence at protein level
P09537	reviewed	SOMA_PAROL	Somatotropin (Growth hormone)	gh	Paralichthys olivaceus (Bastard halibut) (Hippoglossus olivaceus)	190	Evidence at transcript level
P09539	reviewed	SOMA_SERQU	Somatotropin (Growth hormone)	gh	Seriola quinqueradiata (Five-ray yellowtail)	204	Evidence at transcript level
P09585	reviewed	PRL_CYPCA	Prolactin (PRL)	prl	Cyprinus carpio (Common carp)	210	Evidence at protein level
P09686	reviewed	GLUC_MYOSC	Pro-glucagon [Cleaved into: Glicentin-related polypeptide (GRPP); Glucagon; Glucagon-like peptide]	gcg	Myoxocephalus scorpius (Shorthorn sculpin) (Cottus scorpius)	96	Evidence at protein level
P09689	reviewed	ACHB_ELEEL	Acetylcholine receptor subunit beta	chrnb1	Electrophorus electricus (Electric eel) (Gymnotus electricus)	24	Evidence at protein level
P09691	reviewed	ACHD_ELEEL	Acetylcholine receptor subunit delta	chrnd	Electrophorus electricus (Electric eel) (Gymnotus electricus)	26	Evidence at protein level
P09692	reviewed	ACHG_ELEEL	Acetylcholine receptor subunit gamma	chrng	Electrophorus electricus (Electric eel) (Gymnotus electricus)	23	Evidence at protein level
P09876	reviewed	SMS2_MYOSC	Somatostatin-2 (Somatostatin II) [Cleaved into: [Tyr21,Gly24]-somatostatin-28; [Tyr7,Gly10]-somatostatin-14]	sst2	Myoxocephalus scorpius (Shorthorn sculpin) (Cottus scorpius)	74	Evidence at protein level
P0C006	reviewed	PISC3_MORCS	Piscidin-3		Morone chrysops x Morone saxatilis (White bass x Striped bass)	22	Evidence at protein level
P0C235	reviewed	GLUC_POLSE	Glucagon	gcg	Polypterus senegalus (Senegal bichir)	29	Evidence at protein level
P0C236	reviewed	INS_POLSE	Insulin [Cleaved into: Insulin B chain; Insulin A chain]	ins	Polypterus senegalus (Senegal bichir)	52	Evidence at protein level
P0C7U4	reviewed	C3AR_DANRE	C3a anaphylatoxin chemotactic receptor (C3AR) (C3a-R)	c3ar1	Danio rerio (Zebrafish) (Brachydanio rerio)	361	Inferred from homology
P0C8M3	reviewed	SVBP_DANRE	Small vasohibin-binding protein (Coiled-coil domain-containing protein 23)	svbp ccdc23	Danio rerio (Zebrafish) (Brachydanio rerio)	65	Inferred from homology
P0C8Y1	reviewed	MZT1_DANRE	Mitotic-spindle organizing protein 1 (Mitotic-spindle organizing protein associated with a ring of gamma-tubulin 1)	mzt1 mozart1	Danio rerio (Zebrafish) (Brachydanio rerio)	75	Inferred from homology
P0C8Y3	reviewed	BBLN_DANRE	Bublin coiled-coil protein (UPF0184 protein C9orf16 homolog)	bbln	Danio rerio (Zebrafish) (Brachydanio rerio)	99	Inferred from homology
P0CAX4	reviewed	AUGNB_DANRE	Augurin-B (Esophageal cancer-related gene 4-B protein homolog)	ecrg4b im:7256818	Danio rerio (Zebrafish) (Brachydanio rerio)	144	Evidence at transcript level
P0CK98	reviewed	CCD39_DANRE	Coiled-coil domain-containing protein 39	ccdc39	Danio rerio (Zebrafish) (Brachydanio rerio)	947	Inferred from homology
P0DM44	reviewed	LGR6_DANRE	Leucine-rich repeat-containing G-protein coupled receptor 6	lgr6	Danio rerio (Zebrafish) (Brachydanio rerio)	962	Evidence at transcript level
P0DMV4	reviewed	ITLN_ONCMY	Intelectin (RTInt)	itln	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	325	Evidence at protein level
P0DOC8	reviewed	CF418_DANRE	Cilia- and flagella-associated protein 418	cfap418 dkey-242e21.4	Danio rerio (Zebrafish) (Brachydanio rerio)	202	Evidence at protein level
P0DP54	reviewed	PA2V_MEIAT	Phospholipase A2 (PLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase 10)		Meiacanthus atrodorsalis (Forktail blenny) (Petroscirtes atrodorsalis)	152	Evidence at transcript level
P0DP56	reviewed	PENKV_MEIAT	Proenkephalin-A (Proenkephalin) [Cleaved into: Synenkephalin; Met-enkephalin (Opioid growth factor) (OGF); Met-enkephalin-His-Asp; Met-enkephalin-Ser]		Meiacanthus atrodorsalis (Forktail blenny) (Petroscirtes atrodorsalis)	238	Evidence at transcript level
P0DQV8	reviewed	LEC4_SCOPL	C-type isolectin Sp-CL4		Scorpaena plumieri (Spotted scorpionfish)	144	Evidence at protein level
P10043	reviewed	CRGM1_CYPCA	Gamma-crystallin M1 (Gamma-M1)		Cyprinus carpio (Common carp)	178	Evidence at transcript level
P10112	reviewed	CRYGS_CYPCA	Gamma-crystallin S (Beta-crystallin S) (Gamma-S-crystallin)	crygs	Cyprinus carpio (Common carp)	174	Evidence at transcript level
P10298	reviewed	SOMA_CYPCA	Somatotropin (Growth hormone)	gh	Cyprinus carpio (Common carp)	210	Evidence at protein level
P11631	reviewed	NU4M_ONCMY	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2) (NADH dehydrogenase subunit 4)	MT-ND4 MTND4 NADH4 ND4	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	460	Inferred from homology
P11669	reviewed	CYB_ACITR	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	mt-cyb cob cytb mtcyb	Acipenser transmontanus (White sturgeon)	380	Inferred from homology
P12027	reviewed	PSGP_ONCMY	Polysialoglycoprotein (PSGP) (Apopolysialoglycoprotein) (apoPSGP)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	542	Evidence at protein level
P12245	reviewed	CRP_PLEPL	C-reactive protein		Pleuronectes platessa (European plaice)	32	Evidence at protein level
